microsite id,site,latitude,longitude,location,region,country,logger type,zone,tidal height (m),substrate,wave exposure,start date,end date,,,,,
BMRMMXBCER304,MXBCER,31.32033333,-116.4362333,Erendira,Baja,Mexico,8cm epoxy robomussel,Low,0.15,Rocky,exposed,6/6/2007,3/7/2009,,,,,
BMRMMXBCER305,MXBCER,31.32033333,-116.4362333,Erendira,Baja,Mexico,8cm epoxy robomussel,High,0.77,Rocky,exposed,6/6/2007,3/7/2009,,,,,
BMRMMXBCER313,MXBCER,31.32033333,-116.4362333,Erendira,Baja,Mexico,8cm epoxy robomussel,Mid,0.49,Rocky,exposed,12/7/2006,7/24/2009,,,,,
BMRMMXBCES301,MXBCES,28.51683333,-114.0724,Esmeralda,Baja,Mexico,8cm epoxy robomussel,High,0.62,Rocky,exposed,6/15/2007,11/12/2008,,,,,
BMRMMXBCES302,MXBCES,28.51683333,-114.0724,Esmeralda,Baja,Mexico,8cm epoxy robomussel,Mid,0.21,Rocky,exposed,6/15/2007,11/12/2008,,,,,
BMRMMXBCES303,MXBCES,28.51683333,-114.0724,Esmeralda,Baja,Mexico,8cm epoxy robomussel,Low,-0.13,Rocky,exposed,6/15/2007,11/12/2008,,,,,
BMRMMXBCCR1,MXBCCR,23.32882355,-110.1810739,Los Cerritos,Baja,Mexico,8cm epoxy robomussel,Low,N/A,Rocky,N/A,3/22/2008,10/29/2008,,,,,
BMRMMXBCCR2,MXBCCR,23.32882355,-110.1810739,Los Cerritos,Baja,Mexico,8cm epoxy robomussel,Mid,N/A,Rocky,N/A,3/22/2008,10/29/2008,,,,,
BMRMMXBCCR3,MXBCCR,23.32882355,-110.1810739,Los Cerritos,Baja,Mexico,8cm epoxy robomussel,High,N/A,Rocky,N/A,3/22/2008,4/15/2009,,,,,
BMRMMXBCOJ306,MXBCOJ,28.88225,-114.4237667,Los Ojitos,Baja,Mexico,8cm epoxy robomussel,High,N/A,Rocky,exposed,6/16/2007,4/27/2009,,,,,
BMRMMXBCOJ307,MXBCOJ,28.88225,-114.4237667,Los Ojitos,Baja,Mexico,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,12/5/2006,6/6/2008,,,,,
BMRMMXBCOJ308,MXBCOJ,28.88225,-114.4237667,Los Ojitos,Baja,Mexico,8cm epoxy robomussel,Low,N/A,Rocky,exposed,12/10/2007,4/27/2009,,,,,
BMRMMXBCAB1,MXBCAB,26.72622266,-113.5450496,Punta Abreojo,Baja,Mexico,8cm epoxy robomussel,High,N/A,Rocky,N/A,4/18/2007,1/13/2008,,,,,
BMRMMXBCAB3,MXBCAB,26.72622266,-113.5450496,Punta Abreojo,Baja,Mexico,8cm epoxy robomussel,Low,N/A,Rocky,N/A,4/18/2007,2/5/2009,,,,,
BMRMMXBCPB309,MXBCPB,29.94968333,-115.8134333,Punta Baja,Baja,Mexico,8cm epoxy robomussel,Low,-0.15,Rocky,exposed,12/5/2006,4/28/2009,,,,,
BMRMMXBCPB313,MXBCPB,29.94968333,-115.8134333,Punta Baja,Baja,Mexico,8cm epoxy robomussel,High,0.69,Rocky,exposed,6/17/2007,11/15/2008,,,,,
BMRMMXBCPB314,MXBCPB,29.94968333,-115.8134333,Punta Baja,Baja,Mexico,8cm epoxy robomussel,Mid,0.46,Rocky,exposed,12/5/2006,11/15/2008,,,,,
BMRMMXBCPM1,MXBCPM,31.861389,-116.667778,Punta Morro,Baja,Mexico,8cm epoxy robomussel,Low,N/A,Rocky,exposed,6/7/2007,11/12/2008,,,,,
BMRMMXBCPM2,MXBCPM,31.861389,-116.667778,Punta Morro,Baja,Mexico,8cm epoxy robomussel,Mid,0.29,Rocky,exposed,6/7/2007,3/6/2009,,,,,
